"","TagID","FL_mm"
"1",5078.02,240
"2",5218.02,287
"3",5323.02,259
"4",5498.02,258
"5",5743.02,250
"6",6198.02,302
"7",6548.02,260
"8",6618.02,261
"9",6758.02,262
"10",7003.02,254
"11",7913.02,279
"12",8158.02,260
"13",9033.02,197
"14",10118.02,273
"15",8893.02,262
"16",9208.02,241
"17",6128.02,277
"18",6723.02,252
"19",6863.02,255
"20",7038.02,227
"21",7248.02,253
"22",7388.02,275
"23",7493.02,280
"24",8508.02,252
"25",10258.02,255
"26",10328.02,260
"27",10468.02,231
"28",10608.02,235
"29",10993.02,253
"30",9558.02,271
"31",9768.02,265
"32",5708.02,262
"33",5848.02,235
"34",6058.02,228
"35",6233.02,270
"36",6338.02,258
"37",6373.02,259
"38",6513.02,298
"39",6653.02,259
"40",6933.02,267
"41",7528.02,256
"42",7668.02,265
"43",8963.02,256
"44",9348.02,226
"45",5603.02,280
"46",7073.02,278
"47",7283.02,206
"48",7423.02,285
"49",7598.02,215
"50",7703.02,252
"51",7843.02,261
"52",8473.02,285
"53",8613.02,265
"54",8823.02,234
"55",9803.02,262
"56",10538.02,270
"57",10783.02,244
"58",9173.02,275
"59",9873.02,249
"60",5778.02,248
"61",6023.02,266
"62",7563.02,235
"63",7808.02,234
"64",8053.02,254
"65",8263.02,310
"66",8578.02,210
"67",8858.02,232
"68",9313.02,282
"69",9628.02,297
"70",5673.02,252
"71",7318.02,263
"72",7353.02,225
"73",8543.02,295
"74",10923.02,241
"75",5253.02,271
"76",5813.02,239
"77",6163.02,240
"78",10293.02,257
"79",10643.02,238
"80",5358.02,244
"81",5463.02,248
"82",5918.02,260
"83",6303.02,282
"84",6443.02,283
"85",6478.02,286
"86",8088.02,267
"87",9103.02,260
"88",9278.02,222
"89",9418.02,244
"90",5113.02,275
"91",5988.02,271
"92",8123.02,259
"93",8228.02,260
"94",8403.02,272
"95",8928.02,280
"96",9453.02,245
"97",10223.02,300
"98",10678.02,211
"99",10958.02,274
"100",5533.02,290
"101",6898.02,301
"102",9943.02,275
"103",10188.02,260
"104",10573.02,231
"105",5428.02,274
"106",6268.02,280
"107",7633.02,281
"108",10153.02,245
"109",10398.02,230
"110",7458.02,253
"111",8648.02,207
"112",8718.02,261
"113",8788.02,254
"114",9138.02,236
"115",9488.02,248
"116",9593.02,195
"117",9663.02,221
"118",10503.02,283
"119",10748.02,272
"120",5050.02,283
"121",5190.02,280
"122",5645.02,267
"123",5680.02,278
"124",5855.02,295
"125",5960.02,253
"126",6030.02,258
"127",6240.02,275
"128",6275.02,268
"129",6380.02,249
"130",6450.02,256
"131",6485.02,241
"132",6835.02,269
"133",6975.02,232
"134",7185.02,266
"135",7290.02,259
"136",7570.02,279
"137",7920.02,245
"138",7990.02,258
"139",8305.02,207
"140",8725.02,254
"141",8795.02,255
"142",9320.02,266
"143",9390.02,236
"144",9845.02,286
"145",9985.02,233
"146",10090.02,272
"147",10195.02,260
"148",10440.02,264
"149",10930.02,260
"150",5120.02,252
"151",5330.02,264
"152",5575.02,247
"153",6135.02,243
"154",6555.02,249
"155",6940.02,263
"156",7255.02,302
"157",7395.02,274
"158",7465.02,260
"159",7675.02,272
"160",7710.02,242
"161",7885.02,260
"162",8025.02,272
"163",8165.02,281
"164",8480.02,215
"165",8550.02,230
"166",8830.02,240
"167",8970.02,284
"168",9110.02,263
"169",9285.02,265
"170",9495.02,239
"171",9670.02,256
"172",9740.02,265
"173",9915.02,245
"174",9950.02,258
"175",10230.02,235
"176",10405.02,219
"177",10720.02,264
"178",10755.02,238
"179",10825.02,240
"180",5505.02,275
"181",5750.02,265
"182",5995.02,254
"183",6170.02,232
"184",7430.02,281
"185",8760.02,295
"186",9880.02,227
"187",10370.02,230
"188",5085.02,265
"189",5295.02,270
"190",5365.02,283
"191",5470.02,246
"192",6415.02,257
"193",8445.02,237
"194",10160.02,253
"195",5435.02,254
"196",5925.02,235
"197",6065.02,257
"198",7080.02,259
"199",7850.02,265
"200",6730.02,245
"201",6800.02,264
"202",6870.02,270
"203",7325.02,275
"204",7360.02,274
"205",7500.02,267
"206",7535.02,235
"207",10055.02,244
"208",10265.02,256
"209",10895.02,277
"210",7115.02,237
"211",8060.02,270
"212",8130.02,229
"213",8235.02,278
"214",8515.02,270
"215",9215.02,227
"216",9355.02,274
"217",9425.02,238
"218",9810.02,214
"219",10125.02,265
"220",8375.02,300
"221",9075.02,250
"222",9635.02,276
"223",10020.02,266
"224",10580.02,302
"225",6520.02,244
"226",8340.02,253
"227",8410.02,240
"228",9600.02,260
"229",10545.02,258
"230",5715.02,256
"231",6625.02,244
"232",6905.02,227
"233",7010.02,276
"234",7640.02,264
"235",7780.02,278
"236",8095.02,246
"237",9145.02,253
"238",10475.02,265
"239",10510.02,265
"240",5302.02,260
"241",5967.02,257
"242",6422.02,206
"243",6632.02,247
"244",8592.02,264
"245",8942.02,256
"246",9257.02,246
"247",9852.02,270
"248",9992.02,237
"249",10132.02,278
"250",6457.02,295
"251",9187.02,288
"252",9607.02,253
"253",10832.02,265
"254",10902.02,259
"255",7227.02,263
"256",8732.02,238
"257",9397.02,273
"258",9817.02,276
"259",10692.02,284
"260",6562.02,275
"261",6772.02,295
"262",7157.02,279
"263",7542.02,277
"264",7927.02,267
"265",8207.02,284
"266",8417.02,280
"267",9327.02,262
"268",9677.02,209
"269",10377.02,275
"270",7332.02,246
"271",7577.02,289
"272",8312.02,267
"273",8627.02,271
"274",8837.02,196
"275",5057.02,275
"276",5757.02,260
"277",6177.02,282
"278",6527.02,268
"279",7017.02,286
"280",7437.02,236
"281",7472.02,271
"282",8032.02,251
"283",8137.02,270
"284",8522.02,208
"285",5232.02,264
"286",5372.02,260
"287",5582.02,277
"288",5687.02,282
"289",6212.02,270
"290",6492.02,279
"291",8662.02,265
"292",9047.02,272
"293",9957.02,210
"294",10482.02,225
"295",5932.02,250
"296",6282.02,220
"297",7262.02,197
"298",9537.02,253
"299",10552.02,278
"300",5022.02,245
"301",5092.02,233
"302",5337.02,249
"303",5442.02,246
"304",5477.02,244
"305",5792.02,256
"306",5862.02,265
"307",6002.02,290
"308",6037.02,263
"309",6107.02,272
"310",6247.02,253
"311",6317.02,242
"312",6352.02,219
"313",6842.02,220
"314",7122.02,250
"315",7297.02,260
"316",7402.02,257
"317",7507.02,243
"318",7822.02,289
"319",7997.02,307
"320",8277.02,215
"321",8557.02,230
"322",8697.02,267
"323",9012.02,250
"324",9362.02,265
"325",9712.02,270
"326",10097.02,267
"327",10237.02,251
"328",10587.02,264
"329",10867.02,265
"330",5547.02,235
"331",5722.02,256
"332",6387.02,274
"333",6667.02,282
"334",6877.02,258
"335",7052.02,291
"336",7087.02,259
"337",7752.02,269
"338",7857.02,293
"339",7892.02,267
"340",8102.02,265
"341",8172.02,255
"342",8242.02,279
"343",8487.02,275
"344",8802.02,269
"345",8872.02,280
"346",8907.02,283
"347",9292.02,205
"348",9432.02,239
"349",9467.02,261
"350",9502.02,285
"351",9572.02,247
"352",9642.02,275
"353",9887.02,268
"354",10062.02,255
"355",10272.02,283
"356",10447.02,274
"357",10727.02,264
"358",10762.02,284
"359",10797.02,263
"360",5449.02,258
"361",6044.02,239
"362",7444.02,262
"363",8319.02,245
"364",8389.02,259
"365",8844.02,288
"366",9019.02,254
"367",9544.02,251
"368",10909.02,270
"369",10979.02,289
"370",5344.02,258
"371",5694.02,274
"372",5974.02,263
"373",6814.02,258
"374",9054.02,285
"375",5064.02,256
"376",5204.02,285
"377",5484.02,234
"378",5799.02,177
"379",6184.02,270
"380",6359.02,226
"381",6394.02,257
"382",6779.02,260
"383",7864.02,272
"384",8109.02,220
"385",8949.02,266
"386",9194.02,222
"387",10174.02,302
"388",10244.02,263
"389",10559.02,258
"390",5099.02,270
"391",5274.02,277
"392",5379.02,210
"393",5869.02,263
"394",6254.02,255
"395",6534.02,271
"396",6919.02,250
"397",8634.02,258
"398",8774.02,235
"399",9509.02,285
"400",6639.02,260
"401",6954.02,277
"402",6989.02,253
"403",7094.02,272
"404",7409.02,273
"405",7514.02,233
"406",7724.02,278
"407",8004.02,260
"408",8494.02,294
"409",9089.02,278
"410",9124.02,290
"411",9229.02,246
"412",9334.02,255
"413",9369.02,281
"414",9579.02,265
"415",9859.02,274
"416",9964.02,235
"417",10419.02,257
"418",10699.02,222
"419",10769.02,257
"420",5589.02,252
"421",5729.02,235
"422",6219.02,287
"423",7689.02,275
"424",9159.02,284
"425",6009.02,280
"426",6884.02,258
"427",7549.02,242
"428",7829.02,262
"429",8214.02,267
"430",8669.02,248
"431",9684.02,263
"432",9824.02,261
"433",10139.02,242
"434",10944.02,263
"435",5904.02,256
"436",6149.02,300
"437",6569.02,283
"438",7059.02,268
"439",7164.02,235
"440",7479.02,271
"441",7584.02,246
"442",7969.02,255
"443",8179.02,304
"444",8984.02,277
"445",9264.02,266
"446",9894.02,250
"447",10034.02,265
"448",10734.02,237
"449",10839.02,267
"450",5169.02,245
"451",5414.02,263
"452",5939.02,257
"453",6289.02,269
"454",6464.02,275
"455",6674.02,272
"456",7024.02,254
"457",7759.02,253
"458",7934.02,287
"459",8354.02,254
"460",8529.02,245
"461",8564.02,243
"462",8739.02,270
"463",9404.02,275
"464",9719.02,285
"465",6114.02,250
"466",6744.02,268
"467",7269.02,266
"468",8599.02,242
"469",9439.02,238
"470",9754.02,263
"471",9929.02,265
"472",10314.02,260
"473",10489.02,264
"474",10594.02,230
"475",10664.02,256
"476",5029.02,288
"477",7339.02,262
"478",8879.02,283
"479",10209.02,245
"480",5052.04,238
"481",5150.04,272
"482",5395.04,260
"483",5493.04,245
"484",6032.04,293
"485",6326.04,273
"486",6522.04,282
"487",9070.04,260
"488",9168.04,259
"489",9560.04,267
"490",9658.04,271
"491",10099.04,335
"492",5003.04,282
"493",5199.04,240
"494",5689.04,271
"495",7502.04,268
"496",7796.04,256
"497",8923.04,254
"498",10197.04,296
"499",10589.04,276
"500",10981.04,245
"501",6473.04,258
"502",6963.04,258
"503",7012.04,269
"504",7453.04,270
"505",7845.04,268
"506",7992.04,280
"507",8041.04,270
"508",8286.04,265
"509",8482.04,264
"510",8531.04,250
"511",8776.04,288
"512",8972.04,274
"513",9364.04,276
"514",10393.04,250
"515",10687.04,276
"516",5248.04,270
"517",5787.04,325
"518",6179.04,289
"519",7698.04,270
"520",8678.04,301
"521",8825.04,260
"522",9021.04,269
"523",9217.04,276
"524",9266.04,267
"525",9413.04,252
"526",10246.04,259
"527",10785.04,296
"528",6277.04,281
"529",6767.04,289
"530",7257.04,285
"531",9511.04,320
"532",9707.04,306
"533",9854.04,285
"534",10295.04,275
"535",10540.04,233
"536",10736.04,281
"537",5297.04,260
"538",5444.04,272
"539",5738.04,246
"540",5885.04,215
"541",6081.04,275
"542",6228.04,263
"543",6571.04,301
"544",6718.04,298
"545",6914.04,293
"546",7061.04,283
"547",7110.04,317
"548",7649.04,273
"549",7894.04,267
"550",8090.04,326
"551",8237.04,287
"552",8384.04,275
"553",8727.04,253
"554",9756.04,255
"555",9805.04,289
"556",10001.04,270
"557",10148.04,317
"558",10344.04,221
"559",10883.04,292
"560",10932.04,274
"561",5101.04,274
"562",5346.04,264
"563",5542.04,290
"564",5640.04,286
"565",5934.04,272
"566",6130.04,267
"567",6375.04,319
"568",6424.04,267
"569",6816.04,251
"570",6865.04,253
"571",7208.04,250
"572",7306.04,301
"573",7355.04,276
"574",7600.04,282
"575",7747.04,277
"576",7943.04,240
"577",8433.04,287
"578",8580.04,247
"579",8874.04,251
"580",9119.04,288
"581",9609.04,275
"582",10491.04,250
"583",10638.04,309
"584",10834.04,238
"585",5836.04,230
"586",5983.04,272
"587",6620.04,225
"588",6669.04,294
"589",7159.04,268
"590",7404.04,260
"591",8139.04,307
"592",8188.04,303
"593",8335.04,297
"594",8629.04,286
"595",9315.04,265
"596",9462.04,296
"597",9952.04,275
"598",10050.04,256
"599",10442.04,267
"600",5031.04,247
"601",5374.04,260
"602",5668.04,295
"603",5864.04,307
"604",6158.04,292
"605",6452.04,281
"606",8069.04,268
"607",8363.04,260
"608",9539.04,251
"609",9833.04,289
"610",10176.04,297
"611",10470.04,263
"612",5227.04,265
"613",5570.04,276
"614",5962.04,345
"615",6256.04,296
"616",6550.04,287
"617",7040.04,273
"618",7334.04,266
"619",7628.04,250
"620",7922.04,251
"621",8951.04,300
"622",9245.04,262
"623",10764.04,296
"624",6746.04,303
"625",6844.04,286
"626",7138.04,245
"627",7187.04,278
"628",7432.04,286
"629",7726.04,256
"630",7775.04,266
"631",8020.04,246
"632",8216.04,264
"633",8314.04,317
"634",8510.04,232
"635",8657.04,258
"636",6599.04,300
"637",6893.04,256
"638",7481.04,306
"639",8608.04,268
"640",8804.04,315
"641",8902.04,290
"642",9098.04,305
"643",9196.04,260
"644",9392.04,278
"645",9686.04,306
"646",9980.04,252
"647",10323.04,309
"648",5080.04,257
"649",5423.04,257
"650",5717.04,279
"651",6011.04,267
"652",6305.04,272
"653",9490.04,303
"654",9784.04,293
"655",10127.04,285
"656",10421.04,283
"657",10617.04,293
"658",10715.04,230
"659",10911.04,251
"660",5178.04,241
"661",5276.04,260
"662",5521.04,268
"663",5619.04,285
"664",5815.04,274
"665",5913.04,283
"666",6109.04,266
"667",6207.04,283
"668",6403.04,279
"669",6501.04,235
"670",6697.04,290
"671",6795.04,278
"672",6991.04,277
"673",7285.04,291
"674",8412.04,254
"675",8706.04,289
"676",9000.04,235
"677",9294.04,245
"678",9588.04,276
"679",9882.04,285
"680",10225.04,287
"681",10519.04,300
"682",10568.04,296
"683",10813.04,286
"684",5129.04,295
"685",5472.04,258
"686",5766.04,276
"687",6060.04,279
"688",6354.04,259
"689",6648.04,306
"690",6942.04,310
"691",7089.04,283
"692",7236.04,292
"693",7383.04,290
"694",7530.04,267
"695",7579.04,283
"696",7677.04,302
"697",7824.04,307
"698",7873.04,260
"699",7971.04,310
"700",8118.04,267
"701",8167.04,279
"702",8265.04,318
"703",8461.04,283
"704",8559.04,293
"705",8755.04,281
"706",8853.04,280
"707",9049.04,217
"708",9147.04,271
"709",9343.04,261
"710",9441.04,248
"711",9637.04,289
"712",9735.04,235
"713",9931.04,252
"714",10029.04,260
"715",10274.04,244
"716",10372.04,302
"717",10666.04,268
"718",10862.04,297
"719",10960.04,252
"720",9959.04,255
"721",10253.04,275
"722",10841.04,253
"723",5010.04,285
"724",5304.04,269
"725",5598.04,245
"726",9371.04,296
"727",9665.04,283
"728",9763.04,292
"729",10057.04,253
"730",10351.04,262
"731",10547.04,270
"732",5892.04,228
"733",6186.04,280
"734",6480.04,263
"735",8440.04,305
"736",8734.04,300
"737",9028.04,276
"738",9469.04,289
"739",10645.04,264
"740",10939.04,272
"741",6676.04,251
"742",6774.04,262
"743",7019.04,251
"744",7117.04,287
"745",7411.04,165
"746",7509.04,276
"747",7754.04,270
"748",7852.04,315
"749",8048.04,280
"750",8146.04,273
"751",8244.04,320
"752",8342.04,305
"753",8538.04,280
"754",8832.04,285
"755",9126.04,279
"756",5500.04,283
"757",5696.04,300
"758",5794.04,265
"759",5990.04,247
"760",6284.04,318
"761",6382.04,277
"762",6578.04,246
"763",6921.04,268
"764",7215.04,250
"765",7313.04,260
"766",7607.04,285
"767",7950.04,256
"768",5108.04,287
"769",5206.04,305
"770",5402.04,255
"771",6088.04,297
"772",8636.04,260
"773",8930.04,260
"774",9224.04,300
"775",9567.04,280
"776",9910.04,262
"777",10204.04,268
"778",10498.04,289
"779",10792.04,275
"780",5157.04,280
"781",5353.04,269
"782",5451.04,290
"783",5647.04,278
"784",5745.04,285
"785",5941.04,262
"786",6039.04,287
"787",6235.04,315
"788",6333.04,275
"789",6529.04,285
"790",6627.04,265
"791",6970.04,200
"792",7264.04,271
"793",7558.04,284
"794",7803.04,291
"795",8293.04,260
"796",8587.04,277
"797",8881.04,302
"798",9175.04,290
