"","TagID","FL_mm"
"1",1153677,175
"2",1153680,174
"3",1153683,252
"4",1153678,199
"5",1153684,227
"6",1153681,205
"7",1153679,220
"8",1153682,185
"9",1153685,194
"10",1153657,196
"11",1153658,192
"12",1153659,180
"13",1153687,222
"14",1153690,193
"15",1153693,176
"16",1153688,204
"17",1153691,235
"18",1153694,227
"19",1153689,236
"20",1153692,179
"21",1153695,202
"22",1153660,167
"23",1153662,189
"24",1154188,225
"25",1153697,218
"26",1153700,228
"27",1153703,207
"28",1153698,209
"29",1153701,165
"30",1153704,204
"31",1153699,197
"32",1153702,212
"33",1153705,215
"34",1153663,220
"35",1153664,188
"36",1153665,206
"37",1153707,182
"38",1153710,193
"39",1153713,210
"40",1153708,219
"41",1153711,215
"42",1153714,235
"43",1153709,158
"44",1153712,199
"45",1153715,204
"46",1153667,197
"47",1153668,189
"48",1153669,205
"49",1153670,222
"50",1153673,214
"51",1153671,220
"52",1153672,219
"53",1153675,239
"54",1154189,188
"55",1153730,239
"56",1153733,217
"57",1153731,209
"58",1153734,226
"59",1153719,185
"60",1153722,206
"61",1153737,220
"62",1153740,223
"63",1153743,183
"64",1153741,206
"65",1153744,212
"66",1154186,215
"67",1153735,219
"68",1153742,184
"69",1153745,206
"70",1153717,198
"71",1153718,197
"72",1153725,200
"73",1153747,195
"74",1153750,213
"75",1154190,214
"76",1153748,227
"77",1153751,211
"78",1153754,166
"79",1153749,195
"80",1153752,210
"81",1153755,233
"82",1153720,187
"83",1153721,212
"84",1153729,211
"85",1153753,201
"86",1153757,206
"87",1154187,219
"88",1153758,204
"89",1153761,217
"90",1153764,227
"91",1153762,246
"92",1153765,246
"93",1154183,225
"94",1153723,203
"95",1153724,225
"96",1154184,214
"97",1153763,217
"98",1153767,183
"99",1153770,202
"100",1153768,211
"101",1153771,194
"102",1153774,220
"103",1153769,188
"104",1153772,192
"105",1153775,215
"106",1153727,209
"107",1153728,211
"108",1153739,224
"109",1153793,226
"110",1153797,231
"111",1153800,232
"112",1153798,227
"113",1153801,213
"114",1153804,215
"115",1153799,206
"116",1153802,205
"117",1153805,220
"118",1153773,202
"119",1153778,223
"120",1153779,220
"121",1153803,229
"122",1153807,193
"123",1153810,228
"124",1153808,224
"125",1153811,190
"126",1153814,227
"127",1153795,200
"128",1153812,208
"129",1153815,300
"130",1153777,190
"131",1153781,201
"132",1153782,223
"133",1153813,214
"134",1153817,183
"135",1153820,186
"136",1153818,216
"137",1153821,200
"138",1153824,203
"139",1153819,200
"140",1153822,200
"141",1153825,220
"142",1153780,178
"143",1153784,184
"144",1153785,188
"145",1153823,215
"146",1153827,193
"147",1153830,217
"148",1153828,195
"149",1153831,223
"150",1153834,218
"151",1153829,199
"152",1153832,220
"153",1153835,208
"154",1153783,228
"155",1153788,219
"156",1153789,218
"157",1153787,214
"158",1153790,189
"159",1153791,240
"160",1153792,180
"161",1153809,211
"162",1154181,176
"163",1153853,209
"164",1153860,209
"165",1154182,225
"166",1153858,207
"167",1153861,204
"168",1153864,251
"169",1153859,180
"170",1153862,227
"171",1153865,199
"172",1153833,175
"173",1153838,209
"174",1153839,210
"175",1153863,227
"176",1153867,203
"177",1153870,188
"178",1153868,193
